company,specific_origin,REF,review_date,cocoa_percent,company_location,rating,bean_type,broad_origin,Blend
Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75,,Tanzania,Single origin
Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,Single origin
Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25,,Ecuador,Single origin
Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25,,Ecuador,Single origin
Arete,Lachua,1904,2016,70.0,U.S.A.,3.5,,Guatemala,Single origin
Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75,,Nicaragua,Single origin
Arete,"La Masica, FHIA",1908,2016,70.0,U.S.A.,3.5,,Honduras,Single origin
Arete,"Coto Brus, Terciopelo",1908,2016,70.0,U.S.A.,4.0,,Costa Rica,Single origin
Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,Single origin
Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75,,Dominican Republic,Single origin
Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25,,Fiji,Single origin
Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25,,Vietnam,Single origin
Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5,,Brazil,Single origin
Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,Single origin
Arete,"Puerto Quito, heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,Single origin
Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5,,Dominican Republic,Single origin
Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize,Single origin
Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,Single origin
Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75,,Brazil,Single origin
Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25,,Guatemala,Single origin
Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5,,Ecuador,Single origin
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,England,3.25,Trinitario,Trinidad,Single origin
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,England,3.75,,Colombia,Single origin
Artisan du Chocolat,Haiti,729,2011,72.0,England,4.0,,Haiti,Single origin
Artisan du Chocolat,Panama,745,2011,72.0,England,2.75,,Panama,Single origin
Artisan du Chocolat,Venezuela,486,2010,100.0,England,1.75,,Venezuela,Single origin
Artisan du Chocolat,Jamaica,531,2010,72.0,England,3.75,Trinitario,Jamaica,Single origin
Artisan du Chocolat,Costa Rica,600,2010,72.0,England,3.25,,Costa Rica,Single origin
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,England,3.25,Trinitario,Vietnam,Single origin
Artisan du Chocolat,Bali,600,2010,72.0,England,3.5,,Indonesia,Single origin
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,England,2.5,"Criollo, Trinitario",Venezuela,Single origin
Artisan du Chocolat,Java,355,2009,72.0,England,2.75,Trinitario,Indonesia,Single origin
Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,England,1.75,,Brazil,Single origin
Artisan du Chocolat,Madagascar,363,2009,80.0,England,3.0,"Criollo, Trinitario",Madagascar,Single origin
Artisan du Chocolat,Peru,363,2009,75.0,England,3.0,Criollo,Peru,Single origin
Artisan du Chocolat,Dominican Republic,363,2009,72.0,England,3.25,Trinitario,Dominican Republic,Single origin
Artisan du Chocolat,Congo,300,2008,72.0,England,3.75,Forastero,Congo,Single origin
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,England,2.75,Trinitario,Colombia,Single origin
Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania,Single origin
Askinosie,"Tenende, Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania,Single origin
Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,Single origin
Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,Single origin
Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,Single origin
Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,Single origin
Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,,,Blend
Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,,Papua New Guinea,Single origin
Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,Single origin
Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,,Brazil,Single origin
Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend,,Blend
Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,,Peru,Single origin
Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,,Peru,Single origin
Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5,,Brazil,Single origin
Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,Single origin
Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25,,Dominican Republic,Single origin
Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5,,Mexico,Single origin
Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,Single origin
Baravelli's,single estate,955,2012,80.0,Wales,2.75,,Costa Rica,Single origin
Batch,"Dominican Republic, Batch 3",1840,2016,65.0,U.S.A.,3.5,,Dominican Republic,Single origin
Batch,Brazil,1868,2016,70.0,U.S.A.,3.75,,Brazil,Single origin
Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25,,Ecuador,Single origin
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,England,3.0,,Malaysia,Single origin
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,England,3.25,,Malaysia,Single origin
Beehive,"Brazil, Batch 20316",1784,2016,80.0,U.S.A.,2.75,,Brazil,Single origin
Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,U.S.A.,2.75,,Dominican Republic,Single origin
Beehive,"Ecuador, Batch 31516",1784,2016,70.0,U.S.A.,2.75,,Ecuador,Single origin
Beehive,Ecuador,1788,2016,90.0,U.S.A.,2.75,,Ecuador,Single origin
Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,,Costa Rica,Single origin
Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,,Papua New Guinea,Single origin
Belcolade,Peru,586,2010,64.0,Belgium,2.75,,Peru,Single origin
Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,,Ecuador,Single origin
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,Single origin
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,U.S.A.,3.25,,Bolivia,Single origin
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,U.S.A.,3.5,,Dominican Republic,Single origin
Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize,Single origin
Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize,Single origin
Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize,Single origin
Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba,Single origin
Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Single origin
Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Single origin
Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador,Single origin
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia,Single origin
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,Single origin
Bernachon,Nature,797,2012,55.0,France,2.75,,,Single origin
Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,Single origin
Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela,Single origin
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,,Venezuela,Single origin
Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,,Ecuador,Single origin
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela,Single origin
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,Single origin
Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,,Indonesia,Single origin
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,,Venezuela,Single origin
Bisou,"Nicaragua, American style",1482,2015,76.0,U.S.A.,2.5,,Nicaragua,Single origin
Bisou,"San Andres, American style",1486,2015,76.0,U.S.A.,2.5,,Costa Rica,Single origin
Bisou,"San Andres, silk",1486,2015,78.0,U.S.A.,2.5,,Costa Rica,Single origin
Bisou,Belize,1486,2015,86.0,U.S.A.,3.25,Trinitario,Belize,Single origin
Bittersweet Origins,Ghana,963,2012,72.0,U.S.A.,3.5,Forastero,Ghana,Single origin
Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,U.S.A.,3.25,,Indonesia,Single origin
Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,U.S.A.,3.75,Blend,"Dominican Republic,Bali",Single origin
Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,U.S.A.,2.75,,Indonesia,Single origin
Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,Single origin
Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,Single origin
Bittersweet Origins,Puerto Plata,414,2009,75.0,U.S.A.,3.0,,Dominican Republic,Single origin
Bittersweet Origins,Puerto Plata,414,2009,65.0,U.S.A.,3.5,,Dominican Republic,Single origin
Bittersweet Origins,Sambirano,423,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,Single origin
Bittersweet Origins,Sambirano,431,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,Single origin
Bittersweet Origins,Sambirano,233,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,Single origin
Bittersweet Origins,Bocas del Toro,233,2008,75.0,U.S.A.,3.5,,Panama,Single origin
Bittersweet Origins,Puerto Plata,233,2008,68.0,U.S.A.,3.75,,Dominican Republic,Single origin
Bittersweet Origins,Ankasa,256,2008,70.0,U.S.A.,3.0,Forastero,Ghana,Single origin
Black Mountain,La Red,256,2008,70.0,U.S.A.,2.75,,Dominican Republic,Single origin
Black Mountain,Carenero Superior,256,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,Single origin
Black Mountain,Matiguas,256,2008,70.0,U.S.A.,3.0,,Nicaragua,Single origin
Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,England,2.75,Trinitario,Jamaica,Single origin
Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo,Single origin
Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,,,Single origin
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,Single origin
Blue Bandana,Lachua,1752,2016,75.0,U.S.A.,2.75,,Guatemala,Single origin
Blue Bandana,Kokoa Kamili,1752,2016,75.0,U.S.A.,3.5,,Tanzania,Single origin
Blue Bandana,Zorzal Reserva,1756,2016,75.0,U.S.A.,3.0,,Dominican Republic,Single origin
Blue Bandana,Guatemala,911,2012,70.0,U.S.A.,3.5,,Guatemala,Single origin
Blue Bandana,Madagascar,911,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,Single origin
Bonnat,Selva Maya,1912,2016,75.0,France,3.5,,Mexico,Single origin
Bonnat,Kaori,1339,2014,75.0,France,4.0,,Brazil,Single origin
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,,Dominican Republic,Single origin
Bonnat,Surfin,1418,2014,65.0,France,3.75,,"Venezuela,Africa,Brasil,Peru,Mexico",Single origin
Bonnat,Maragnam,1038,2013,75.0,France,3.5,,Brazil,Single origin
Bonnat,Gabon,1042,2013,75.0,France,3.25,,Gabon,Single origin
Bonnat,Cuba,629,2011,75.0,France,3.5,Trinitario,Cuba,Single origin
Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5,,Peru,Single origin
Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero (Nacional),Peru,Single origin
Bonnat,Libanio,629,2011,75.0,France,3.75,,Brazil,Single origin
Bonnat,Haiti,629,2011,75.0,France,4.0,,Haiti,Single origin
Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar,Single origin
Bonnat,Juliana,672,2011,75.0,France,3.5,,Brazil,Single origin
Bonnat,Jamaique,761,2011,75.0,France,3.25,Trinitario,Jamaica,Single origin
Bonnat,Ivory Coast,331,2009,75.0,France,3.0,,Ivory Coast,Single origin
Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,Criollo,Peru,Single origin
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,Criollo,Mexico,Single origin
Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,Criollo,Mexico,Single origin
Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,Single origin
Bonnat,Equateur,123,2007,75.0,France,2.5,Forastero (Arriba),Ecuador,Single origin
Bonnat,Trinite,24,2006,75.0,France,3.75,Trinitario,Carribean,Single origin
Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0,,Venezuela,Single origin
Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela,Single origin
Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar,Single origin
Bonnat,One Hundred,81,2006,100.0,France,1.5,,,Single origin
Bonnat,Ceylan,81,2006,75.0,France,3.0,,Sri Lanka,Single origin
Bonnat,Chuao,81,2006,75.0,France,4.0,Trinitario,Venezuela,Single origin
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador,Single origin
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador,Single origin
Bowler Man,Maya Mountain,1267,2014,70.0,U.S.A.,2.75,Trinitario,Belize,Single origin
Bowler Man,Conacado,1271,2014,70.0,U.S.A.,2.75,,Dominican Republic,Single origin
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70.0,U.S.A.,3.5,Criollo,Venezuela,Single origin
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70.0,U.S.A.,3.75,,Nicaragua,Single origin
Brasstown aka It's Chocolate,Conacado,1462,2015,68.0,U.S.A.,3.75,,Dominican Republic,Single origin
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70.0,U.S.A.,3.75,Trinitario,Belize,Single origin
Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela,Single origin
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic,Single origin
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70.0,U.S.A.,3.25,,Ecuador,Single origin
Brasstown aka It's Chocolate,Ghana,1129,2013,75.0,U.S.A.,3.5,Forastero,Ghana,Single origin
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela,Blend
Brazen,Elvesia P.,1514,2015,60.0,U.S.A.,3.0,,Dominican Republic,Single origin
Brazen,Elvesia P.,1514,2015,80.0,U.S.A.,3.25,,Dominican Republic,Single origin
Brazen,"Alta Verapaz, 2014",1514,2015,70.0,U.S.A.,3.5,,Guatemala,Single origin
Brazen,Ambolikapiky P.,1518,2015,80.0,U.S.A.,2.75,,Madagascar,Single origin
Brazen,Maya Mountain,1518,2015,80.0,U.S.A.,3.25,Trinitario,Belize,Single origin
Brazen,Ambolikapkly P.,1518,2015,60.0,U.S.A.,3.25,,Madagascar,Single origin
Breeze Mill,Jamaica,1149,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica,Single origin
Bright,Somia Plantation,1231,2014,72.0,Australia,3.0,Trinitario,Madagascar,Single origin
Bright,Marabel Farms,1231,2014,70.0,Australia,3.5,,Dominican Republic,Single origin
Bright,"Camino Verde, Balao, Guayas",1231,2014,72.0,Australia,3.5,,Ecuador,Single origin
Bright,Gran Couva,1235,2014,68.0,Australia,2.75,Trinitario,Trinidad,Single origin
Britarev,Ecuador,1638,2015,70.0,Russia,3.25,,Ecuador,Single origin
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68.0,U.S.A.,2.75,,Dominican Republic,Single origin
Burnt Fork Bend,Trinidad,1299,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad,Single origin
Burnt Fork Bend,Mindo,1299,2014,72.0,U.S.A.,3.5,,Ecuador,Single origin
Burnt Fork Bend,Belize,1303,2014,72.0,U.S.A.,3.25,Trinitario,Belize,Single origin
Burnt Fork Bend,Blend,1303,2014,72.0,U.S.A.,3.25,Blend,,Blend
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60.0,U.S.A.,2.5,,Ecuador,Single origin
Cacao Arabuco,Puerto Rico,1606,2015,70.0,Puerto Rico,2.5,,Puerto Rico,Single origin
Cacao Atlanta,Tumbes,1215,2014,75.0,U.S.A.,2.5,Criollo,Peru,Single origin
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75.0,U.S.A.,2.5,,Dominican Republic,Single origin
